agency_name,n_routes,total_trips,mean_trips_per_route,max_trips
O.R.Jones,3,40,13.333333333333334,26
Redwoods Travel,3,6,2.0,2
Travel Wisharts,3,51,17.0,37
Thames Clippers,3,527,175.66666666666666,290
Lawson's of Corby,3,6,2.0,2
Lewis Y Llan,3,38,12.666666666666666,23
Ridgways Coaches,3,63,21.0,42
Howards Travel,3,16,5.333333333333333,8
London Docklands Light Railway - TfL,3,7591,2530.3333333333335,4215
Greenslades Tours,3,76,25.333333333333332,72
Thomas of Rhondda,3,113,37.666666666666664,55
Harpurs Coaches,3,4,1.3333333333333333,2
Green Mountain Travel,3,55,18.333333333333332,24
The Durness Bus,3,18,6.0,7
Golden Tours,3,48,16.0,26
Thandi Red Limited,3,6,2.0,2
Felix Taxis & Co.,3,30,10.0,16
Valentines Travel,3,27,9.0,10
Maghull Coaches,3,7,2.3333333333333335,5
Viscount Travel,3,63,21.0,35
Belle Vue Coaches,3,28,9.333333333333334,24
Starline,3,7,2.3333333333333335,3
Ross Travel,3,132,44.0,45
Murdo MacIver,3,49,16.333333333333332,22
Roberts Coaches,3,288,96.0,96
Stirling Council,3,58,19.333333333333332,36
Taf Valley Coaches,3,57,19.0,20
D A Travel,3,91,30.333333333333332,43
Berry's Coaches,3,60,20.0,24
Cruise Loch Lomond,3,119,39.666666666666664,80
TK Travel,3,15,5.0,5
Belle Coaches,3,3,1.0,1
McNairn's Coaches,3,111,37.0,48
Irving of Dalston,3,10,3.3333333333333335,4
Wright Brothers Coaches,2,4,2.0,2
Community Transport Glasgow,2,142,71.0,88
Rooster Bus,2,4,2.0,2
Select Coaches,2,26,13.0,15
Yarranton Brothers,2,43,21.5,22
Coastal and Country Coaches,2,36,18.0,20
Wrexham Taxis,2,46,23.0,34
Annandale Community Transport,2,5,2.5,4
Wilson's of Rhu,2,126,63.0,64
Bullocks Coaches,2,4,2.0,2
Travel Cornwall,2,4,2.0,2
Tranport for Tongue,2,6,3.0,4
Todd's Travel,2,79,39.5,41
Atwest,2,36,18.0,23
BM Coaches,2,65,32.5,48
Sweyne Coaches,2,47,23.5,45
Wastbus,2,15,7.5,13
Stevenson's Travel,2,9,4.5,5
Acme Transport Services,2,4,2.0,2
Station Coaches,2,56,28.0,36
Burnbrae Garage,2,7,3.5,5
Shoreline Suncruisers,2,47,23.5,45
West Midlands Metro,2,1280,640.0,724
AMK,2,19,9.5,16
St Ives Minibus Services,2,38,19.0,30
ABUS,2,4,2.0,2
Charlton Mini's,2,22,11.0,12
South Harris Coaches,2,37,18.5,26
City Transport,2,176,88.0,146
Skills Motor Coaches Limited,2,165,82.5,96
SightSeeing Manchester,2,44,22.0,41
Coach Event Services,2,63,31.5,39
Bristol Ferry Boat Company,2,88,44.0,72
Hopleys Coaches,2,52,26.0,30
